Unidad,nombre,matricula,Instante,Estado,Comunica,CoordX,CoordY,Linea,Ruta,Posicion,Viaje,Velocidad
3333,Empresa_13,3333,2018-01-20 00:39:23.670,1,1,293827,9115103,NULL,NULL,NULL,NULL,NULL
3333,Empresa_13,3333,2018-01-20 00:40:24.137,1,0,293827,9115103,NULL,NULL,NULL,NULL,NULL
3333,Empresa_13,3333,2018-01-20 02:04:24.587,0,0,0,0,NULL,NULL,NULL,NULL,NULL
3333,Empresa_13,3333,2018-01-20 04:48:48.073,1,1,293825,9115103,NULL,NULL,NULL,NULL,NULL
3333,Empresa_13,3333,2018-01-20 04:49:47.460,1,1,293824,9115104,NULL,NULL,NULL,NULL,NULL
3333,Empresa_13,3333,2018-01-20 04:50:46.863,1,1,293824,9115103,NULL,NULL,NULL,NULL,NULL
3333,Empresa_13,3333,2018-01-20 04:51:46.250,1,1,293824,9115103,NULL,NULL,NULL,NULL,NULL
3333,Empresa_13,3333,2018-01-20 04:52:45.623,1,1,293825,9115103,NULL,NULL,NULL,NULL,NULL
12201,Empresa_1,8842,2018-01-23 07:55:03.430,5,1,283688,9112656,59,141,1338,5,19
12201,Empresa_1,8842,2018-01-23 07:55:33.477,5,1,283372,9112838,59,141,1733,5,47
12201,Empresa_1,8842,2018-01-23 07:56:03.427,5,1,283292,9112875,59,141,1821,5,10
12201,Empresa_1,8842,2018-01-23 07:56:33.440,5,1,283183,9112927,59,141,1915,5,11
12201,Empresa_1,8842,2018-01-23 07:57:03.437,5,1,283052,9112985,59,141,2070,5,18
12201,Empresa_1,8842,2018-01-23 07:57:33.437,5,1,282880,9113118,59,141,2305,5,28
12201,Empresa_1,8842,2018-01-23 07:58:03.433,5,1,282792,9113125,59,141,2388,5,9
12201,Empresa_1,8842,2018-01-23 07:58:33.433,5,1,282640,9113110,59,141,2540,5,18
12201,Empresa_1,8842,2018-01-23 07:59:03.417,5,1,282329,9113035,59,141,2878,5,40
12201,Empresa_1,8842,2018-01-23 07:59:33.430,5,1,282125,9113046,59,141,3068,5,22
12201,Empresa_1,8842,2018-01-23 08:00:03.427,5,1,281995,9113013,59,141,3218,5,18
12201,Empresa_1,8842,2018-01-23 08:00:33.440,5,1,281793,9112962,59,141,3426,5,24
12201,Empresa_1,8842,2018-01-23 08:01:03.440,5,1,281780,9112960,59,141,3439,5,1
12201,Empresa_1,8842,2018-01-23 08:01:33.437,5,1,281779,9112961,59,141,3440,5,0
12201,Empresa_1,8842,2018-01-23 08:02:03.437,5,1,281605,9112921,59,141,3608,5,20
50771,Empresa_10,2484,2018-01-22 16:02:14.150,5,1,289890,9112745,85,199,8468,15,0
50771,Empresa_10,2484,2018-01-22 16:02:44.147,5,1,289891,9112745,85,199,8468,15,0
50771,Empresa_10,2484,2018-01-22 16:03:13.927,5,1,289888,9112743,85,199,8468,15,0
50771,Empresa_10,2484,2018-01-22 16:03:43.927,5,1,289888,9112742,85,199,8468,15,0
50771,Empresa_10,2484,2018-01-22 16:04:13.923,5,1,289889,9112743,85,199,8468,15,0
50771,Empresa_10,2484,2018-01-22 16:04:43.920,5,1,289890,9112742,85,199,8468,15,0
50771,Empresa_10,2484,2018-01-22 16:05:13.920,5,1,289888,9112741,85,199,8468,15,0
50771,Empresa_10,2484,2018-01-22 16:05:43.967,5,1,289890,9112741,85,199,8468,15,0
50771,Empresa_10,2484,2018-01-22 16:06:13.730,5,1,289888,9112742,85,199,8468,15,0
50771,Empresa_10,2484,2018-01-22 16:06:43.727,5,1,289888,9112743,85,199,8468,15,0
50771,Empresa_10,2484,2018-01-22 16:07:13.727,5,1,289888,9112742,85,199,8468,15,0
50771,Empresa_10,2484,2018-01-22 16:07:43.723,5,0,289888,9112742,85,199,8468,15,0
50771,Empresa_10,2484,2018-01-22 16:08:13.723,5,1,289891,9112743,85,199,8468,15,0
50776,Empresa_10,9579,2018-01-21 02:04:38.277,0,0,0,0,NULL,NULL,NULL,NULL,NULL
50776,Empresa_10,9579,2018-01-22 02:02:58.683,0,0,0,0,NULL,NULL,NULL,NULL,NULL
50776,Empresa_10,9579,2018-01-22 06:41:58.503,1,1,286859,9116423,NULL,NULL,NULL,NULL,NULL
50776,Empresa_10,9579,2018-01-22 06:42:19.390,1,1,286859,9116424,NULL,NULL,NULL,NULL,NULL
50776,Empresa_10,9579,2018-01-22 06:42:49.420,1,0,286859,9116424,NULL,NULL,NULL,NULL,NULL
50776,Empresa_10,9579,2018-01-22 06:43:19.403,11,1,286821,9116343,NULL,NULL,NULL,NULL,5
50776,Empresa_10,9579,2018-01-22 06:43:49.387,11,1,286804,9116301,NULL,NULL,NULL,NULL,5
50776,Empresa_10,9579,2018-01-22 06:44:19.400,11,0,286804,9116301,NULL,NULL,NULL,NULL,5
50776,Empresa_10,9579,2018-01-22 06:44:49.380,11,1,286805,9116300,NULL,NULL,NULL,NULL,0
50776,Empresa_10,9579,2018-01-22 06:45:19.380,11,1,286796,9116275,NULL,NULL,NULL,NULL,3
50776,Empresa_10,9579,2018-01-22 06:45:49.410,11,1,286841,9116269,NULL,NULL,NULL,NULL,5
50776,Empresa_10,9579,2018-01-22 06:46:19.517,11,1,286931,9116394,NULL,NULL,NULL,NULL,18
50776,Empresa_10,9579,2018-01-22 06:46:49.513,3,1,287038,9116427,NULL,NULL,NULL,NULL,13
50776,Empresa_10,9579,2018-01-22 06:47:19.387,3,1,287148,9116413,NULL,NULL,NULL,NULL,13
50776,Empresa_10,9579,2018-01-22 06:47:49.387,3,1,287261,9116342,NULL,NULL,NULL,NULL,15